,Status,City
547,city not found,Baban
548,city not found,Toampar
549,current,Karangdalam
550,current,Bunder
551,current,Waru
552,current,Masaran
553,city not found,Gungguh
554,city not found,Utara
555,city not found,Bandungan Timur
556,city not found,Lonpao Dajah
557,city not found,Sekolahan
558,current,Bertah
559,city not found,Pregi
560,city not found,Tonggakjati
561,city not found,Jambul
562,current,Sumberbendo
563,city not found,Batas Barat
564,city not found,Rongrongan
565,current,Sumber Tengah
566,city not found,Gunungtengah
567,city not found,Pademawu
568,city not found,Duko
569,city not found,Sangoleng
570,current,Tanahmerah
571,city not found,Sannip
572,city not found,Laokgunung
573,city not found,Secang Barat
574,city not found,Pasean
575,city not found,Murtajih
576,current,Grujugan
577,city not found,Tentenan
578,city not found,Duwaktenggi
579,current,Jepon
580,current,Patapan
581,current,Bangkal
582,city not found,Mungging
583,city not found,Tamberu
584,city not found,Taraban Timur
585,city not found,Daleman Tengah
586,city not found,Tenggina
587,city not found,Tenggina
588,city not found,Bakbatu
589,city not found,Pandiyan
590,city not found,Platok
591,city not found,Galis
592,current,Gunung
593,city not found,Nampera
594,city not found,Gagah
595,city not found,Ombul
596,city not found,Trebungonjur
597,city not found,Tandes
598,city not found,Angsana Timur
599,current,Kebon
600,city not found,Toroy
601,city not found,Dorbuk Utara
602,current,Pancoran
603,city not found,Sumberngerjat
604,city not found,Lobuk
605,city not found,Pakong
606,city not found,Morsoksok
607,city not found,Mor Laok
608,city not found,Lembung Tengah
609,city not found,Oro Timur
610,city not found,Paolasen
611,city not found,Timur Dajah
612,city not found,Sumberbatas
613,city not found,Trasak
614,city not found,Telangi Satu
615,city not found,Pakong Laok
616,city not found,Bulung
617,city not found,Kadur
618,current,Larangan
619,current,Tengah
620,current,Tengah
621,city not found,Rapas
622,city not found,Polagan Tengah
623,city not found,Danpateh
624,city not found,Bulay
625,city not found,Kalebun
626,city not found,Biris Daja
627,city not found,Plasah
628,current,Barat
629,current,Barat
630,city not found,Temorlorong
631,city not found,Nomih
632,success,Pamekasan
633,city not found,Wakduwa’ Barat
634,current,Jrebeng
635,current,Gambolempuk
636,current,Batakte
637,current,Sumurber
638,current,Tuliskriyo
639,current,Karanganyar
640,current,Kadumanis
641,current,Cisitu
642,current,Salanegara
643,current,Kertasari
644,current,Bentarsari
645,current,Legok
646,current,Blandongan
647,current,Ganggawang
648,success,Banjaran
649,current,Gununglarang
650,current,Bentar
651,current,Muara
652,current,Salem Kidul
653,current,Dukuhkopi
654,current,Winduasri
655,current,Kandayakan Satu
656,current,Melahayu
657,current,Gandoang
658,current,Windusakti Hilir
659,current,Ciputih
660,current,Pamedaran
661,current,Cipanjang
662,current,Capar
663,current,Indrajaya Satu
664,current,Cogreg
665,current,Brebes
666,current,Citimbang
667,current,Salem
668,current,Sindangheula
669,current,Gunungjaya
670,current,Bandungsari
671,current,Legoknyenang
672,current,Tembongraja
673,city not found,Sumberaya Barat
674,current,Sukasari
675,current,Sitimerto
676,city not found,Krajan Wetan Wonojoyo
677,current,Ngasem
678,current,Penanggapan
679,current,Ciherang
680,current,Kadumonyong
681,current,Padarincang
682,current,Panyirapan
683,current,Citasuk
684,current,Pancanagara
685,current,Pondokwaru
686,current,Citaman
687,current,Dahu
688,current,Talagabakti
689,current,Bojonegara
690,current,Pabuaran
691,current,Langgen
692,current,Sioah
693,current,Nengger
694,current,Kopibaru
695,current,Kurungkotok
696,current,Cibunut
697,current,Lebak
698,current,Sirnagalih
699,current,Cipayung
700,current,Cikuray
701,current,Tawingmuara
702,current,Cilongkrangpusaka
703,current,Uluarang
704,current,Kampungsawah Landeuh
705,current,Sukacai
706,current,Lengor
707,current,Kaduela
708,current,Merapit
709,current,Cikaung
710,current,Pasauran
711,current,Sampiran
712,current,Timurjaya
713,current,Lontar
714,current,Kopibera
715,current,Manggu
716,current,Kalibuntu
717,current,Nagreg
718,current,Nagreg
719,current,Cibojong
720,current,Peuteuy
721,current,Panenjoan
722,current,Cikendi
723,current,Pangarengan
724,current,Mekarsari
725,current,Umbultanjung
726,current,Kalumpang
727,current,Parapatan
728,current,Cikedung
729,current,Bantarwaru
730,current,Pakuncen
731,current,Ciomas
732,current,Gunungsari
733,current,Curuggoong
734,current,Tambakan
735,current,Rancaranji
736,current,Kaduranca
737,current,Cibetung Dua
738,current,Bojongseler
739,current,Cemplang
740,success,Ungaran
741,current,Sawo
742,current,Brangsi
743,current,Kendal
744,current,Bengkel Utara
745,current,Sukahurip
746,city not found,Polay Atas
747,success,Sragen
748,current,Baron
749,current,Tlogosadang
750,current,Desa Borogojol
751,current,Cimanggu Girang
752,current,Cikondang
753,current,Cidadap
754,current,Werasari
755,current,Sarimukti
756,current,Desa Sindanghurip
757,current,Cimanggu Hilir
758,current,Buninegara
759,current,Cibeureum
760,success,Majalengka
761,current,Cimuncang
762,current,Wangkelang
763,current,Lemahputih
764,current,Ciranca Satu
765,current,Bangbayang
766,current,Sindangpanji
767,current,Jatipamor
768,current,Cisoka
769,current,Maniis
770,current,Jaga
771,current,Sukadana
772,current,Sukamukti
773,current,Cidulang
774,current,Cipeundeuy
775,current,Mulyasari
776,current,Nagarakembang
777,current,Cintasari
778,current,Cikeusal
779,current,Sindang
780,current,Sidaraja
781,current,Margamukti
782,current,Cilimus
783,current,Cingambul
784,current,Cibulan
785,current,Bagjasari
786,current,Malausma Kidul
787,current,Jagasari
788,current,Rawa
789,current,Dalamdesa Kalapadua
790,current,Lebakwangi
791,current,Cikijing
792,current,Kasturi
793,current,Bantengan
794,city not found,Prayan
795,current,Pakel
796,current,Pakel
797,current,Suruhan Lor
798,current,Ngrendeng
799,current,Batangsaren
800,current,Balong
801,current,Banaran
802,current,Kepatihan
803,current,Mayangan
804,current,Sadar
805,current,Kroyo
806,current,Turus
807,current,Pinggirsari
808,success,Sepatan
809,current,Darungan
810,city not found,Ngepoh Kidul
811,city not found,Mulyo
812,current,Selorejo
813,current,Bendilwungu Lor
814,success,Bandung
815,city not found,Contong
816,current,Pulosari
817,current,Banjarsari Kidul
818,city not found,Bangus Kulon
819,current,Jatirejo
820,current,Jarakan
821,current,Besole
822,current,Pandansari
823,current,Rejoagung
824,current,Majan
825,current,Majan
826,current,Kedungdoro
827,current,Kudusan
828,success,Tanggulangin
829,current,Brandil
830,current,Jabon
831,current,Jabon
832,success,Soko
833,current,Gombang
834,current,Panjerrejo
835,current,Tapan
836,current,Gebang
837,current,Sendung
838,current,Bulus
839,current,Domasan
840,current,Kedungcangkring
841,current,Sumberagung
842,current,Sambirejo
843,current,Krajan
844,current,Sumberingin Kulon
845,current,Sembung
846,current,Bangoan
847,city not found,Dungkul
848,current,Mekarsari
849,current,Bolorejo
850,current,Apakbranjang
851,current,Kradinan
